question,answer,tag
"Selamat Pagi","Selamat pagi juga! Ada yang bisa dibantu?","Salam"
"Selamat Siang","Selamat siang juga! Ada yang bisa dibantu?","Salam"
"Selamat Sore","Selamat Sore juga! Ada yang bisa dibantu?","Salam"
"Selamat Malam","Selamat malam juga! Ada yang bisa dibantu?","Salam"
"Saya tidak menemukan laporan kerja yang sudah saya buat sebelumnya, bagaimana solusinya agar saya dapat menemukan laporan kerja?","Silakan pilih menu 'Riwayat Laporan Kerja', di sana Anda akan menemukan seluruh laporan kerja yang telah Anda buat sebelumnya. Pastikan untuk memeriksa tanggal dan waktu pembuatan laporan kerja agar lebih mudah menemukannya.",laporan_kerja
Kenapa laporan kerja saya masih dalam status 'Pending'?,"Laporan Anda masih dalam status 'Pending' karena manajer sedang melakukan pengecekan sebelum memberikan approval. Harap bersabar selama proses tersebut berlangsung.",laporan_kerja
Bagaimana cara mengetahui apakah laporan kerja saya sudah diapprove?,"Anda akan menerima notifikasi begitu laporan Anda disetujui. Selain itu, Anda juga dapat memeriksa status laporan di menu 'Riwayat Laporan Kerja' untuk melihat status setiap laporan yang telah Anda buat.",laporan_kerja
Apakah saya bisa mengedit laporan setelah mendapatkan approval?,"Setelah laporan disetujui, laporan tersebut bersifat final dan tidak bisa diedit lagi. Pastikan laporan Anda sudah lengkap dan benar sebelum disetujui.",laporan_kerja
Apakah saya bisa mengedit laporan setelah ditolak?,"Ya, laporan yang ditolak oleh manajer bisa diedit. Anda dapat melakukan perubahan yang diperlukan dan mengirimkannya kembali untuk disetujui.",laporan_kerja
Bagaimana cara pegawai mengajukan laporan kerja harian?,"Pegawai dapat mengisi formulir laporan kerja harian dan mengirimkannya ke manajer untuk ditinjau.",laporan_kerja
Bagaimana cara mengajukan revisi terhadap laporan yang sudah diapprove?,"Untuk mengajukan revisi, Anda bisa membuat laporan baru dengan menambahkan kata ‘Revisi’ pada judul laporan kerja. Dengan begitu, laporan yang direvisi akan jelas teridentifikasi.",laporan_kerja
Bagaimana cara membuat laporan kerja harian?,"Pegawai dapat mengakses formulir laporan kerja, mengisi rincian tugas, jam kerja, serta kendala yang dihadapi.",laporan_kerja
Informasi apa saja yang harus dimasukkan dalam laporan kerja?,"Nama pegawai, tanggal, rincian pekerjaan, hasil pekerjaan, kendala yang dihadapi, serta solusi yang diterapkan.",laporan_kerja
Bagaimana pegawai mengirim laporan kerja kepada manajer?,"Setelah mengisi laporan, pegawai dapat mengklik tombol 'Kirim' untuk ditinjau",laporan_kerja
Apakah pegawai dapat mengakses semua laporan kerja yang ada di sistem?,"Tidak, pegawai hanya dapat mengakses laporan kerja miliknya sendiri.",laporan_kerja
Apa yang terjadi jika laporan kerja ditolak oleh manajer?,"Pegawai akan mendapatkan notifikasi beserta alasan penolakan dan dapat merevisi laporan sesuai feedback dari manajer.",laporan_kerja
Apakah pegawai dapat mengedit laporan yang telah dikirim ke manajer?,"Tidak, pegawai hanya dapat mengedit laporan yang ditolak oleh manajer.",laporan_kerja
Bagaimana pegawai mengetahui status laporan kerja yang telah dikirim?,"Sistem akan mengirimkan notifikasi apakah laporan telah disetujui, ditolak, atau masih dalam tinjauan",laporan_kerja
Apakah pegawai bisa melihat riwayat laporan kerja mereka?,"Ya, pegawai bisa mengakses halaman riwayat untuk melihat laporan yang telah dibuat.",laporan_kerja
Apakah pegawai bisa mengedit laporan kerja yang sudah dikirimkan?,"Jika laporan belum disetujui atau ditolak, pegawai bisa mengeditnya sebelum dikirim ulang.",laporan_kerja
